2018/1/11 9:36:43	正在初始化...已完成

2018/1/11 9:36:43	链接12306服务器速度:155毫秒[优]

2018/1/11 9:36:44	获取到:1677个CDN,开始智能测速中...

2018/1/11 9:36:55	[查询失败]当前未查到列车，请稍后再试

2018/1/11 9:36:55	查询完毕,本次查询共用时:269毫秒

2018/1/11 9:36:56	查询完毕,本次查询共用时:252毫秒

2018/1/11 9:43:44	链接12306服务器速度:189毫秒[优]

2018/1/11 9:44:44	链接12306服务器速度:165毫秒[优]

2018/1/11 10:03:10	查询完毕,本次查询共用时:359毫秒

2018/1/11 10:12:41	查询完毕,本次查询共用时:171毫秒

2018/1/11 10:12:47	查询完毕,本次查询共用时:647毫秒

2018/1/11 10:38:38	开始查询2018-02-09车次

2018/1/11 10:48:34	[检查状态]检测到下线,已成功登录

2018/1/11 12:08:34	[检查状态]检测到下线,已成功登录

2018/1/11 13:35:18	结束车票查询

2018/1/11 13:36:00	正在加载配置,请稍等...

2018/1/11 13:36:00	正在初始化配置,下载车站信息...

2018/1/11 13:36:00	初始化完毕,可以进行操作

2018/1/11 13:36:01	获取到:1683个CDN,开始智能测速中...

2018/1/11 13:36:14	查询完毕,本次查询共用时:575毫秒

2018/1/11 13:36:31	查询完毕,本次查询共用时:369毫秒

2018/1/11 13:36:37	查询完毕,本次查询共用时:105毫秒

2018/1/11 17:23:36	正在初始化...已完成

2018/1/11 17:23:37	链接12306服务器速度:3888毫秒[差]

2018/1/11 17:23:37	获取到:1683个CDN,开始智能测速中...

2018/1/11 17:23:38	正在加载配置,请稍等...

2018/1/11 17:23:38	正在初始化配置,下载车站信息...

2018/1/11 17:23:38	初始化完毕,可以进行操作

2018/1/11 17:23:39	获取到:1683个CDN,开始智能测速中...

2018/1/11 17:23:55	查询完毕,本次查询共用时:347毫秒

2018/1/11 17:24:06	查询完毕,本次查询共用时:52毫秒

2018/1/11 17:24:10	查询完毕,本次查询共用时:107毫秒

2018/1/11 17:24:17	查询完毕,本次查询共用时:163毫秒

2018/1/11 19:24:46	正在初始化...已完成

2018/1/11 19:24:46	链接12306服务器速度:136毫秒[优]

2018/1/11 19:25:39	查询完毕,本次查询共用时:371毫秒

2018/1/11 19:28:11	查询完毕,本次查询共用时:128毫秒

2018/1/11 19:28:13	[查询失败]当前未查到列车，请稍后再试

2018/1/11 19:28:13	查询完毕,本次查询共用时:99毫秒

2018/1/11 19:28:14	查询完毕,本次查询共用时:53毫秒

2018/1/11 19:28:18	查询完毕,本次查询共用时:55毫秒

2018/1/11 19:28:28	查询完毕,本次查询共用时:83毫秒

2018/1/11 19:31:21	正在初始化...已完成

2018/1/11 19:31:22	链接12306服务器速度:196毫秒[优]

2018/1/11 19:31:22	获取到:1678个CDN,开始智能测速中...

2018/1/11 19:31:32	查询完毕,本次查询共用时:232毫秒

2018/1/11 19:31:37	查询完毕,本次查询共用时:306毫秒

2018/1/11 19:31:45	查询完毕,本次查询共用时:310毫秒

2018/1/11 19:32:25	查询完毕,本次查询共用时:171毫秒

2018/1/11 19:32:27	查询完毕,本次查询共用时:225毫秒

